Future State - Account,Wesco 1A Account Grouping Exceptions,Grouping,Static/Dynamic,Risk Rating,Frequency
305005,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
306001,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
306002,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
306003,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
306004,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
306005,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
306006,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
307001,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
307002,Account Group 4: Equity,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
114003,Account Grouping 21: Intercompany AR non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
114006,Account Grouping 21: Intercompany AR non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
114013,Account Grouping 21: Intercompany AR non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
114014,Account Grouping 21: Intercompany AR non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
114015,Account Grouping 21: Intercompany AR non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
114016,Account Grouping 21: Intercompany AR non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
114017,Account Grouping 21: Intercompany AR non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
114018,Account Grouping 21: Intercompany AR non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
114019,Account Grouping 21: Intercompany AR non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
114020,Account Grouping 21: Intercompany AR non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
114021,Account Grouping 21: Intercompany AR non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
212006,Account Grouping 20: Intercompany AP non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
212011,Account Grouping 20: Intercompany AP non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
212012,Account Grouping 20: Intercompany AP non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
212013,Account Grouping 20: Intercompany AP non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
212014,Account Grouping 20: Intercompany AP non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
212015,Account Grouping 20: Intercompany AP non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
212016,Account Grouping 20: Intercompany AP non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
212017,Account Grouping 20: Intercompany AP non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
212042,Account Grouping 20: Intercompany AP non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
212043,Account Grouping 20: Intercompany AP non inv,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
215002,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
215003,Account Grouping 25: Debt,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
221001,Account Grouping 25: Debt,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
221002,Account Grouping 25: Debt,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
221010,Account Grouping 25: Debt,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
221011,Account Grouping 25: Debt,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
221012,Account Grouping 25: Debt,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
221013,Account Grouping 25: Debt,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
221033,Account Grouping 25: Debt,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
221037,Account Grouping 25: Debt,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
221044,Account Grouping 25: Debt,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
221047,Account Grouping 25: Debt,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
221052,Account Grouping 25: Debt,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
221056,Account Grouping 25: Debt,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
221057,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
221058,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
122001,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
122002,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
122003,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
122004,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
122005,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
122006,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
122007,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
122008,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
122009,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
122010,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
224001,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
224002,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
224003,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
224004,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
224005,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
224006,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
127001,Account Group 23: DB Pensions,#N/A,Static frequency: quarterly-1,Medium,Quarterly-1
127002,Account Group 23: DB Pensions,#N/A,Static frequency: quarterly-1,Medium,Quarterly-1
223001,Account Group 23: DB Pensions,#N/A,Static frequency: quarterly-1,Medium,Quarterly-1
223002,Account Group 23: DB Pensions,#N/A,Static frequency: quarterly-1,Medium,Quarterly-1
