Account ID,AC,Active?,Preparer Duration
1002_ON-2100-115131-0000-14001-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-14306-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-14813-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-15304-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-15402-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-15408-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-80122-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-80138-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-80160-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115131-0000-80212-0000-ALL-ALL,115131,Yes,14
1002_ON-2100-115143-0000-80003-0000-ALL-ALL,115143,Yes,14
1002_ON-2100-115156-0000-80155-0000-ALL-ALL,115156,Yes,14
1002_ON-2100-115209-0000-11723-0000-ALL-ALL,115209,Yes,14
1002_ON-2100-115209-0000-14115-0000-ALL-ALL,115209,Yes,14
1002_ON-2100-117101-0000-11003-0000-ALL-ALL,117101,Yes,14
1002_ON-2100-117101-0000-11004-0000-ALL-ALL,117101,Yes,14
1002_ON-2100-117101-0000-11703-0000-ALL-ALL,117101,Yes,14
1002_ON-2100-117101-0000-11710-0000-ALL-ALL,117101,Yes,14
1002_ON-2100-117101-0000-11711-0000-ALL-ALL,117101,Yes,14
1002_ON-2100-117101-0000-12104-0000-ALL-ALL,117101,Yes,14
1002_ON-2100-117101-0000-12507-0000-ALL-ALL,117101,Yes,14
1002_ON-2100-117101-0000-14402-0000-ALL-ALL,117101,Yes,14
1002_ON-2100-117101-0000-15402-0000-ALL-ALL,117101,Yes,14
1002_ON-2100-117101-0000-15611-0000-ALL-ALL,117101,Yes,14
1002_ON-2100-117101-0000-15826-0000-ALL-ALL,117101,Yes,14
1002_ON-2100-117101-0000-80354-0000-ALL-ALL,117101,Yes,14
1002_ON-2100-117106-0000-11105-0000-ALL-ALL,117106,Yes,14
1002_ON-2100-117106-0000-12208-0000-ALL-ALL,117106,Yes,14
1002_ON-2100-117106-0000-14505-0000-ALL-ALL,117106,Yes,14
1002_ON-2100-117106-0000-80051-0000-ALL-ALL,117106,Yes,14
1002_ON-2100-117106-0000-80138-0000-ALL-ALL,117106,Yes,14
1002_ON-2100-117106-0000-80234-0000-ALL-ALL,117106,Yes,14
1002_ON-2100-117120-0000-11106-0000-ALL-ALL,117120,Yes,14
1002_ON-2100-117120-0000-11701-0000-ALL-ALL,117120,Yes,14
1002_ON-2100-117120-0000-11710-0000-ALL-ALL,117120,Yes,14
1002_ON-2100-117120-0000-11723-0000-ALL-ALL,117120,Yes,14
1002_ON-2100-117120-0000-12507-0000-ALL-ALL,117120,Yes,14
1002_ON-2100-117120-0000-12613-0000-ALL-ALL,117120,Yes,14
1002_ON-2100-117120-0000-13004-0000-ALL-ALL,117120,Yes,14
1002_ON-2100-117120-0000-14614-0000-ALL-ALL,117120,Yes,14
1002_ON-2100-117120-0000-80160-0000-ALL-ALL,117120,Yes,14
1002_ON-2100-117120-0000-80344-0000-ALL-ALL,117120,Yes,14
1002_ON-2100-117122-0000-11003-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11004-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11006-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11007-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11103-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11105-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11106-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11205-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11322-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11408-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11701-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11703-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11710-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11711-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11717-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11723-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11804-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11806-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-11901-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12006-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12104-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12106-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12116-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12117-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12205-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12208-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12211-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12311-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12501-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12506-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12507-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12613-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12901-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-12904-0000-ALL-ALL,117122,Yes,14
